company,metric_name,value,unit,as_of_date,segment,disclosed_or_derived,source_url,doc_title,page,note
Sansera Engineering Limited,installed capacity,NOT_FOUND,NOT_FOUND,NOT_FOUND,consolidated,NOT_FOUND,https://d2un9pqbzgw43g.cloudfront.net/main/Sansera-Engineering-Limited-RHP.pdf,Sansera Engineering Limited RHP dated 6 September 2021,NOT_FOUND,UNREACHABLE — egress 403
Sansera Engineering Limited,capacity utilisation,NOT_FOUND,NOT_FOUND,NOT_FOUND,consolidated,NOT_FOUND,https://www.icra.in/Rating/ShowRationalReportFilePdf/125868,ICRA rating rationale (reaffirmed 28-Feb-2024),NOT_FOUND,UNREACHABLE — egress 403; ICRA rationale is the likely richest source for utilisation but could not be read
Sansera Engineering Limited,number of machines / CNC machines,NOT_FOUND,NOT_FOUND,NOT_FOUND,consolidated,NOT_FOUND,https://d2un9pqbzgw43g.cloudfront.net/main/Sansera-Engineering-Limited-RHP.pdf,Sansera Engineering Limited RHP dated 6 September 2021,NOT_FOUND,UNREACHABLE — egress 403
Sansera Engineering Limited,machine hours / machining hours convention,NOT_FOUND,NOT_FOUND,NOT_FOUND,consolidated,NOT_FOUND,https://d2un9pqbzgw43g.cloudfront.net/main/Sansera-Engineering-Limited-RHP.pdf,Sansera Engineering Limited RHP dated 6 September 2021,NOT_FOUND,UNREACHABLE — egress 403; no hours footnote could be verified (TASK 2)
Sansera Engineering Limited,xEV / tech-agnostic segment capacity,NOT_FOUND,NOT_FOUND,NOT_FOUND,xEV/tech-agnostic,NOT_FOUND,https://sansera.in/wp-content/uploads/2025/05/Investors-Presentation_Q4FY25.pdf,Sansera Q4 FY25 Investor Presentation,NOT_FOUND,UNREACHABLE — egress 403
Dynamatic Technologies Limited,installed capacity - Aerospace,NOT_FOUND,,,Aerospace,NOT_FOUND,https://dynamatics.com/UploadImages/EarningsPresentation/Q4-and-Full-Year-FY2025-Earnings-Presentation5124-earning_presentation.pdf,Q4 and FY2025 Earnings Presentation,NOT_FOUND,UNREACHABLE - dynamatics.com egress-blocked by network proxy; document could not be fetched to source any figure
Dynamatic Technologies Limited,installed capacity - Hydraulics,NOT_FOUND,,,Hydraulics,NOT_FOUND,https://dynamatics.com/UploadImages/EarningsPresentation/Q4-and-Full-Year-FY2025-Earnings-Presentation5124-earning_presentation.pdf,Q4 and FY2025 Earnings Presentation,NOT_FOUND,UNREACHABLE - dynamatics.com egress-blocked; no figure sourced
Dynamatic Technologies Limited,installed capacity - Automotive/Metallurgy,NOT_FOUND,,,Automotive/Metallurgy,NOT_FOUND,https://dynamatics.com/UploadImages/EarningsPresentation/Q4-and-Full-Year-FY2025-Earnings-Presentation5124-earning_presentation.pdf,Q4 and FY2025 Earnings Presentation,NOT_FOUND,UNREACHABLE - dynamatics.com egress-blocked; no figure sourced
Dynamatic Technologies Limited,capacity utilisation,NOT_FOUND,,,All segments,NOT_FOUND,https://nsearchives.nseindia.com/corporate/DYNAMATICH_20052026121424_Presentation_19052026.pdf,Investor Presentation (May 2026),NOT_FOUND,UNREACHABLE - nsearchives.nseindia.com egress-blocked; no figure sourced
Dynamatic Technologies Limited,manufacturing area,NOT_FOUND,,,All facilities,NOT_FOUND,https://dynamatics.com/annual-reports,Annual Report FY2025,NOT_FOUND,UNREACHABLE - dynamatics.com egress-blocked; annual report could not be fetched
Dynamatic Technologies Limited,CNC / machine count,NOT_FOUND,,,All facilities,NOT_FOUND,https://dynamatics.com/annual-reports,Annual Report FY2025,NOT_FOUND,UNREACHABLE - dynamatics.com egress-blocked; no figure sourced
Dynamatic Technologies Limited,machine hours,NOT_FOUND,,,All facilities,NOT_FOUND,https://dynamatics.com/annual-reports,Annual Report FY2025,NOT_FOUND,UNREACHABLE - dynamatics.com egress-blocked; no machine-hours convention footnote could be inspected
Dynamatic Technologies Limited,capex / project cost,NOT_FOUND,,,All segments,NOT_FOUND,https://www.careratings.com,CARE Ratings rationale - Dynamatic Technologies,NOT_FOUND,UNREACHABLE - careratings.com egress-blocked; rating rationale could not be fetched
Indo-MIM Limited,installed capacity (MIM / precision components),NOT_FOUND,tonnes per annum or units per annum,NOT_FOUND,MIM + machined + investment-cast components,NOT_FOUND,https://indo-mim.com/wp-content/uploads/2025/09/INDO-MIM-Limited-DRHP.pdf,"INDO-MIM Limited Draft Red Herring Prospectus, dated September 26, 2025",NOT_FOUND,"Primary doc located but UNREACHABLE: host indo-mim.com returns egress-proxy policy denial (403). SEBI RHP page (sebi.gov.in), BSE mirror (bseindia.com), and all BRLM sites also policy-denied. No figure recorded to avoid using search-snippet as source. See gaps.md."
Indo-MIM Limited,number of MIM / injection moulding machines,NOT_FOUND,machines,NOT_FOUND,MIM,NOT_FOUND,https://indo-mim.com/wp-content/uploads/2025/09/INDO-MIM-Limited-DRHP.pdf,"INDO-MIM Limited Draft Red Herring Prospectus, dated September 26, 2025",NOT_FOUND,Primary doc UNREACHABLE (egress 403). Secondary trade-press mentions ~100 injection moulding machines but not from a fetched primary source; see gaps.md.
Indo-MIM Limited,number of CNC / machining machines,NOT_FOUND,machines,NOT_FOUND,machined components,NOT_FOUND,https://indo-mim.com/wp-content/uploads/2025/09/INDO-MIM-Limited-DRHP.pdf,"INDO-MIM Limited Draft Red Herring Prospectus, dated September 26, 2025",NOT_FOUND,Primary doc UNREACHABLE (egress 403).
Indo-MIM Limited,manufacturing area,NOT_FOUND,sq. m / sq. ft,NOT_FOUND,all facilities,NOT_FOUND,https://indo-mim.com/wp-content/uploads/2025/09/INDO-MIM-Limited-DRHP.pdf,"INDO-MIM Limited Draft Red Herring Prospectus, dated September 26, 2025",NOT_FOUND,"Primary doc UNREACHABLE (egress 403). Secondary sources cite ~1 million sq ft / DBP 13,000 sq m / HSK 12,000 sq m but not from a fetched primary source; see gaps.md."
Indo-MIM Limited,capacity utilisation,NOT_FOUND,percent,NOT_FOUND,MIM,NOT_FOUND,https://indo-mim.com/wp-content/uploads/2025/09/INDO-MIM-Limited-DRHP.pdf,"INDO-MIM Limited Draft Red Herring Prospectus, dated September 26, 2025",NOT_FOUND,"Primary doc UNREACHABLE (egress 403). Secondary coverage cites FY25 ~36.25% and FY26 ~32.16% but these are search-snippet SECONDARY, not verifiable against the primary doc; see gaps.md."
Indo-MIM Limited,number of manufacturing facilities,NOT_FOUND,facilities,NOT_FOUND,group,NOT_FOUND,https://indo-mim.com/wp-content/uploads/2025/09/INDO-MIM-Limited-DRHP.pdf,"INDO-MIM Limited Draft Red Herring Prospectus, dated September 26, 2025",NOT_FOUND,Primary doc UNREACHABLE (egress 403). Secondary sources vary (India Hoskote/Doddaballapur core plus overseas units); not verifiable; see gaps.md.
